Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Ja-Ela,7.0667984,79.9040932,Horizon Reception Hall,7.067138817535343,79.91217812999129,Hotel,0.03764714434773794
Rajagiriya,6.909410799999999,79.8942538,Hotel De Beruwala,6.908218992133628,79.89588774281113,Asian Restaurant,0.13180244181911108
Panchikawatte,6.9309682,79.8639835,Hotel De Buhari,6.929492437557499,79.8644240101377,Asian Restaurant,0.16320522258150805
Bambalapitiya,6.904361,79.8540397,Hotel De Pilawoos,6.902016904814802,79.85276522944935,Sri Lankan Restaurant,0.25923423166641013
Wellawatte,6.8740921,79.8604934,Hotel Fayaz,6.8774237385400685,79.8605153789678,Asian Restaurant,0.3684465432732938
Union Place,6.9229583,79.8523572,Hotel Nippon,6.924100409755483,79.85211278465997,Hotel,0.12630638852611428
Wellawatte,6.8740921,79.8604934,Hotel Omega Inn,6.86920192532253,79.86224996640772,Pub,0.5408052601552277
Wellawatte,6.8740921,79.8604934,Hotel Rolex,6.868300500222211,79.86250092703416,Restaurant,0.6404940052958373
Kiribathgoda,6.9778284,79.92715229999997,Hotel Sanara Mandira,6.978425836169071,79.93549912059483,Hotel,0.06607086405100199
Wellawatte,6.8740921,79.8604934,Hotel Sapphire,6.8710652219026525,79.86218308940471,Hotel,0.33474298330042207
Bambalapitiya,6.904361,79.8540397,Hotel de Plaza,6.906346605451809,79.85128246338141,Sri Lankan Restaurant,0.21958875798190405
Borella,6.9121796,79.8828828,House of Fashions Mega Mall,6.9104422169113695,79.8777220682336,Shopping Mall,0.19213781335838134
Narahenpita,6.897593400000001,79.881483,House of fashion,6.900647487764248,79.87721509548815,Clothing Store,0.3377524792131009
Wattala,6.9906677,79.8931709,Hunupitiya Railway Station,6.9878294774806085,79.90039003254422,Train Station,0.3138810674091306
Maradana,6.926997,79.8639835,Hyde Park,6.918800905453937,79.86153599052452,Park,0.9064094495346171
Wellawatte,6.8740921,79.8604934,IFS R&D International,6.867516628370596,79.86284001546903,IT Services,0.7271825149347233
Kirulapana,6.8814717000000005,79.87634759999997,ILLNoize Studio - Iraj,6.880942,79.875703,Record Shop,0.05857963760164418
Dematagoda,6.9352993000000005,79.88078309999999,ISM APAC,6.941574887857188,79.88006889436399,Office,0.6940202817969686
Fort (Colombo),6.9337011,79.8500302,Ikoi Tei,6.933578,79.843599,Japanese Restaurant,0.01361368550775224
Cinnamon Gardens,6.9116652,79.86456779999997,Il Gelato,6.916764185353763,79.86527402551107,Ice Cream Shop,0.5638986713935409
Battaramulla,6.897994099999999,79.9222869,Il Gelato Pelawatte,6.89995548785915,79.9212989640189,Food,0.21691046860124968
Fort (Colombo),6.9337011,79.8500302,Il Ponte,6.930991571079511,79.84562875452352,Italian Restaurant,0.299648030821368
Thalawathugoda,6.8758648,79.9391936,InDooSe,6.8750296,79.93391,Indian Restaurant,0.09236492652393792
Cinnamon Gardens,6.9116652,79.86456779999997,Independence Square Jogging Track,6.903842173558375,79.86678636779106,Track,0.8651511461959038
Cinnamon Gardens,6.9116652,79.86456779999997,Indian Summer,6.911526300756044,79.86839279826803,North Indian Restaurant,0.015360916946700769
Kollupitiya,6.912815400000001,79.8506815,Indo Ceylon Cafe,6.910585974855902,79.84995954972385,Indian Restaurant,0.24655292320320532
Fort (Colombo),6.9337011,79.8500302,Infinity Pool - The Kingsbury,6.9332190412585675,79.84174433782206,Pool,0.05331109709722222
Borella,6.9121796,79.8828828,Informatics Holdings Limited,6.906834580321185,79.8803538624152,IT Services,0.5911075816304181
Union Place,6.9229583,79.8523572,Inn On the Green (IOG),6.920274496761148,79.84674679303326,Pub,0.29680288237585783
Fort (Colombo),6.9337011,79.8500302,Innodata Lanka (Pvt) Ltd,6.934353553970946,79.8586988018862,Office,0.07215518532465307
"Pettah, Sri Lanka",6.936785799999999,79.8525385,Iqbal Hotel,6.939370229737447,79.86055092680789,Asian Restaurant,0.28581332432865353
Cinnamon Gardens,6.9116652,79.86456779999997,Irish Bar & Grill,6.915807000000001,79.859707,Irish Pub,0.4580431808111693
Colombo,6.927078599999999,79.861243,Islamic Book House,6.928274832382178,79.86728922464269,Bookstore,0.13229185513937083
Havelock Town,6.8866519,79.8646835,Isso,6.892950867771655,79.86615158396117,Seafood Restaurant,0.6966044584633841
Kollupitiya,6.912815400000001,79.8506815,Isso - Prawn Crazy,6.911916000000001,79.85446800000001,Seafood Restaurant,0.09946497010294404
Thalawathugoda,6.8758648,79.9391936,Ivy Park Community Park,6.8773144542249325,79.94018224542566,Park,0.16031754351581184
Cinnamon Gardens,6.9116652,79.86456779999997,JDA Perera Gallery,6.911526025602324,79.8689149248723,Art Gallery,0.01539134629471681
Havelock Town,6.8866519,79.8646835,Jack Tree,6.887685745341782,79.87311670354828,Thai Restaurant,0.11433320845717644
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Janakala Kendraya,6.890199628113798,79.92160674446669,Garden,0.38021238830760035
Sri Jayawardenepura Kotte,6.8867616,79.9187142,Japanese Friendship Road Walking Stretch,6.885214858717129,79.92422471317369,Trail,0.17105448722843447
Havelock Town,6.8866519,79.8646835,Java Lounge,6.882134461166854,79.8589341486299,Café,0.49958460430830637
Havelock Town,6.8866519,79.8646835,Java Lounge,6.8922327237578225,79.8671154174605,Coffee Shop,0.6171847188686612
Kotahena,6.9487664,79.86048309999998,Jaya Container Terminal(JCT),6.9519969025768535,79.85648896366607,Pier,0.3572630144708026
Wellawatte,6.8740921,79.8604934,Jaya Gandhi Lodge,6.8723767603960475,79.86172593472908,Vegetarian / Vegan Restaurant,0.18969971489281426
Battaramulla,6.897994099999999,79.9222869,Jayanthipura,6.895289710645793,79.91629951577214,Outdoors & Recreation,0.2990791964818766
Cinnamon Gardens,6.9116652,79.86456779999997,Jetwing Colombo Seven,6.9166159805474425,79.87023200092315,Hotel,0.547508645487039
Union Place,6.9229583,79.8523572,Jetwing House,6.919915049606253,79.85069669974712,General Travel,0.3365542856391813
Pelawatte,6.8905834000000015,79.924918,Juiceez,6.893319635618376,79.9277592775467,Juice Bar,0.30260102470324346
Havelock Town,6.8866519,79.8646835,Juiceez,6.894035666370433,79.8669370874149,Juice Bar,0.816572631715469
Nawala,6.896419099999999,79.8884819,Juiceez,6.894320175996585,79.88232516619101,Juice Bar,0.23212059686176476
Rajagiriya,6.909410799999999,79.8942538,Juiceez,6.906759047728062,79.9020291063689,Dessert Shop,0.2932581867629592
Dematagoda,6.9352993000000005,79.88078309999999,Juiceez,6.941342202841255,79.88015781930378,Juice Bar,0.6682875306163496
Dalugama,6.9752231,79.92066940000002,Juicy Melon,6.976124944452777,79.92498457431795,Juice Bar,0.09973556865367887
Moratuwa,6.788070599999998,79.8912813,K-Zone,6.795578770855541,79.88784889841493,Shopping Mall,0.8303271644191448
Moratuwa,6.788070599999998,79.8912813,K-Zone Food Court,6.7961799415042226,79.88798733823032,Food Court,0.8968105214166512
Moratuwa,6.788070599999998,79.8912813,K-zone Car Park,6.7952857450428406,79.88752229871311,Department Store,0.7979214915884967
"Kaduwela, Western Province",6.929061,79.98277540000002,KAYVEE'S,6.931024593856067,79.98239554137244,Restaurant,0.217154713107293
Piliyandala,6.8017575,79.9227313,KBH Bake House,6.7974733237381955,79.93068024785478,Bakery,0.47378637716750316
Rajagiriya,6.909410799999999,79.8942538,KBQ Korean Barbecue,6.909180056008222,79.89751667152761,Restaurant,0.025518057919561462
Moratuwa,6.788070599999998,79.8912813,KFC,6.78511487287188,79.88478714394473,Fast Food Restaurant,0.3268732217063642
Kalubowila,6.863141400000001,79.87868329999998,KFC,6.864264958875211,79.87006769474462,Fast Food Restaurant,0.12425452851900907
Wellawatte,6.8740921,79.8604934,KFC,6.873797353757678,79.86610577695025,Fast Food Restaurant,0.03259604084203521
Wellawatte,6.8740921,79.8604934,KFC,6.878058339998798,79.85704068761814,Fast Food Restaurant,0.43862724575179773
Wellawatte,6.8740921,79.8604934,KFC Race Course,6.873922879725383,79.86214855065295,Restaurant,0.018714101166148942
"Kaduwela, Western Province",6.929061,79.98277540000002,Kaduwela Bus Stand,6.936340990890383,79.98324180233756,Bus Station,0.8050975026416151
Kelaniya,6.9516076,79.91866230000002,Kalaniya Bus Stand,6.953476858401445,79.91896136888501,Bus Station,0.2067223090534541
Maharagama,6.8510951,79.92120109999998,Kalbo Bakery,6.8498099971847095,79.92323401899291,Bakery,0.14211961652672647
Havelock Town,6.8866519,79.8646835,Kami Maki,6.8915876529822455,79.86720319982241,Japanese Restaurant,0.5458461703725707
Kandana,7.0477897,79.8970348,Kamilka Food House,7.048998817603443,79.90199408799052,Bakery,0.1337175206401856
Madampitiya,6.9616629,79.87518359999999,Kanda Uda Junction,6.970117475216497,79.87379185275141,Rest Area,0.9349966238296058
Kandana,7.0477897,79.8970348,Kandana Railway Station,7.049426188028012,79.90158081856151,Train Station,0.18098084341547008
Wellawatte,6.8740921,79.8604934,Kandoori,6.878469374823885,79.85815354134448,Indian Restaurant,0.4840836704094285
Kiribathgoda,6.9778284,79.92715229999997,Kandy,6.97833081026451,79.92755854755777,Women's Store,0.05556188583148116
Wattala,6.9906677,79.8931709,Kandy,6.991971133026115,79.89405985303107,Clothing Store,0.14414760738923352
Kadawatha,7.0046719,79.9542002,Kandy,7.001897549310456,79.95158572581133,Clothing Store,0.30681761837502547
Kadawatha,7.0046719,79.9542002,Kandy Food court,7.001655034213675,79.95192447439655,Restaurant,0.33363755138999435
Havelock Town,6.8866519,79.8646835,Kathiresan Hall - Bambalapitiya,6.884042949864916,79.8599209155587,Concert Hall,0.28852440972018606
Nawala,6.896419099999999,79.8884819,Keel's US Burger Corner,6.901165718501294,79.8940723497238,Burger Joint,0.5249299524004011
Moratuwa,6.788070599999998,79.8912813,Keells Super,6.790238554716495,79.88583549953323,Grocery Store,0.23975366692157404
Moratuwa,6.788070599999998,79.8912813,Keells Super,6.795391723338572,79.8877226683445,Supermarket,0.8096416125352845
Piliyandala,6.8017575,79.9227313,Keells Super,6.7984919999999995,79.915094,Supermarket,0.36113113760250964
Ratmalana,6.8195453,79.8800832,Keells Super,6.81934796676251,79.87422959566811,Supermarket,0.02182306947530455
Dehiwala,6.8301185,79.8800832,Keells Super,6.8318819054781885,79.87714304747841,Convenience Store,0.19501498654944707
Kottawa,6.8411652,79.9654324,Keells Super,6.836456224413393,79.96525972829619,Supermarket,0.5207657110905735
Kottawa,6.8411652,79.9654324,Keells Super,6.844498966113632,79.96942667916358,Supermarket,0.3686813274514681
Pannipitiya,6.8463993,79.94843459999998,Keells Super,6.845310209212444,79.94252076140498,Supermarket,0.12044260872706443
Maharagama,6.8510951,79.92120109999998,Keells Super,6.851621453537224,79.92046432883485,Supermarket,0.0582094792655604
Kohuwala,6.862484200000001,79.8854983,Keells Super,6.853524672043357,79.88511875957614,Shopping Mall,0.9908351781296855
Nugegoda,6.864908099999999,79.89967890000001,Keells Super,6.865520789411357,79.89525982547039,Convenience Store,0.0677574094267386
Kalubowila,6.863141400000001,79.87868329999998,Keells Super,6.869493855855608,79.88075779657014,Supermarket,0.7025190317557187
Kohuwala,6.862484200000001,79.8854983,Keells Super,6.871413319328992,79.88513185340956,Supermarket,0.9874726519660622
Thalawathugoda,6.8758648,79.9391936,Keells Super,6.874935298757452,79.93424510401317,Supermarket,0.10279371863413732
Havelock Town,6.8866519,79.8646835,Keells Super,6.88700158718951,79.8645666779737,Supermarket,0.038671991009165844
Narahenpita,6.897593400000001,79.881483,Keells Super,6.889660553718448,79.87979164911377,Supermarket,0.8772956413198795
Narahenpita,6.897593400000001,79.881483,Keells Super,6.8960531005733445,79.87295795332349,Supermarket,0.17034215788480764
Nawala,6.896419099999999,79.8884819,Keells Super,6.896516590324064,79.89116277093642,Supermarket,0.010781482898984498
Rajagiriya,6.909410799999999,79.8942538,Keells Super,6.906548395138838,79.90231846130072,Supermarket,0.3165543269440247
Koswatte,6.908863,79.93135670000002,Keells Super,6.908808365409682,79.93800718267906,Grocery Store,0.006042058137990844
Rajagiriya,6.909410799999999,79.8942538,Keells Super,6.910430645528343,79.89500971948407,Supermarket,0.11278507293822868
Borella,6.9121796,79.8828828,Keells Super,6.913794220127191,79.88114063878348,Convenience Store,0.17856142634793715
Union Place,6.9229583,79.8523572,Keells Super,6.917211190336634,79.84885722832459,Supermarket,0.6355751342642064
Union Place,6.9229583,79.8523572,Keells Super,6.9216286439784875,79.85605057159701,Supermarket,0.14704719975224395
"Kaduwela, Western Province",6.929061,79.98277540000002,Keells Super,6.933574984175882,79.9826303970928,Supermarket,0.49920353343378226
Kotahena,6.9487664,79.86048309999998,Keells Super,6.947989460770968,79.86094905099726,Supermarket,0.08592211923820689
Peliyagoda,6.958491499999999,79.9055819,Keells Super,6.950803,79.90724,Supermarket,0.8502754958307247
Kiribathgoda,6.9778284,79.92715229999997,Keells Super,6.977393958230586,79.92919697706616,Supermarket,0.04804520373074078
Ragama,7.028003699999998,79.923,Keells Super,7.027264,79.917649,Supermarket,0.08180408770898284
Kandana,7.0477897,79.8970348,Keells Super,7.040798079471808,79.89809617906859,Supermarket,0.7732101460042482
Kandana,7.0477897,79.8970348,Keells Super,7.040827383338263,79.89806884389316,Grocery Store,0.7699694032603093
Wattala,6.9906677,79.8931709,Keells Super - Wattala,6.988173809552013,79.89086954754971,Supermarket,0.27580113827330627
Pelawatte,6.8905834000000015,79.924918,Keels @ Parliment Food Court,6.893827778208964,79.91748014232095,Fast Food Restaurant,0.35879665273776906
Kollupitiya,6.912815400000001,79.8506815,Keels Liberty Plaza,6.911358028157472,79.8514195133328,Convenience Store,0.1611712753530855
Thalawathugoda,6.8758648,79.9391936,Keels Super,6.870399019011626,79.94059867645659,Shopping Plaza,0.6044616986345155
Pamankada,6.8776324,79.8713074,Keels Super,6.877196088248602,79.877854888073,Grocery Store,0.04825180335555778
Kiribathgoda,6.9778284,79.92715229999997,Keels Super,6.9823227,79.9309,Grocery Store,0.49702767281203236
Kohuwala,6.862484200000001,79.8854983,Keels Super Kohuwala,6.863412302023669,79.88788278654475,Supermarket,0.1026389255534081
Maharagama,6.8510951,79.92120109999998,Keels Super Maharagama,6.842585457156877,79.92104761186758,Shipping Store,0.9410818978535717
Malabe,6.906078699999999,79.9696277,Keels Super Pittugala,6.908338781907017,79.96569150511249,Shopping Mall,0.24994321856390947
Mattakkuliya,6.971672200000001,79.87868329999998,Kelani River,6.9703474511773,79.88510007780367,River,0.1465048110180595
Dalugama,6.9752231,79.92066940000002,Kelaniya University Bus Stop,6.972204455289397,79.91703740922813,Bus Station,0.33383386781709823
Bambalapitiya,6.904361,79.8540397,Kelly Felder,6.905503434893969,79.85161871584272,Boutique,0.12634224729189827
Kollupitiya,6.912815400000001,79.8506815,Kelly Felder,6.913724242983352,79.85845543106629,Women's Store,0.10050927684084524
Pamankada,6.8776324,79.8713074,Kids Unlimited,6.8708871021273685,79.87682782729709,Kids Store,0.7459637351213284
Union Place,6.9229583,79.8523572,King Of The Mambo,6.9203339999999995,79.84569,Cuban Restaurant,0.2902223955597358
Havelock Town,6.8866519,79.8646835,Kinjou Chinese Restaurant,6.885152043514488,79.86635267658636,Chinese Restaurant,0.16586948571395985
Pamankada,6.8776324,79.8713074,Kirillapona Bus Halt,6.878301757232518,79.87636203147505,Bus Stop,0.07402435116345814
Pamankada,6.8776324,79.8713074,Kirulapona Grounds,6.876999907151864,79.87887745289035,Soccer Field,0.06994750957195563
Pamankada,6.8776324,79.8713074,Kirulapona Market,6.878070184238241,79.87513038615722,Flea Market,0.04841464685021313
Havelock Town,6.8866519,79.8646835,Klassy,6.887754475652957,79.86224882047993,Café,0.12193411050517762
Battaramulla,6.897994099999999,79.9222869,Klassy,6.900578626409367,79.92060653953232,Bakery,0.28582355053092007
Koswatte,6.908863,79.93135670000002,Koga Juice Bar,6.915836140137143,79.9305424949781,Juice Bar,0.7711620800584372
Welikada,6.9230071,79.8940806,Kolonnawa Banana Shop,6.930667921723223,79.89262350735763,Farmers Market,0.8472135490327862
Pamankada,6.8776324,79.8713074,Kopi Kade,6.8782043,79.87289399999999,Coffee Shop,0.06324653606132241
Ratmalana,6.8195453,79.8800832,Kotelawala Jogging Track,6.816957411654652,79.88621004284417,Athletics & Sports,0.2861943840956664
Union Place,6.9229583,79.8523572,Kottuville @ Union Place,6.921428999999999,79.856039,Fast Food Restaurant,0.16912590775471922
Havelock Town,6.8866519,79.8646835,Kubra Jewellers,6.888062962083023,79.85729717660448,Jewelry Store,0.1560497010862757
Pamankada,6.8776324,79.8713074,Kushmi Foods,6.8732253626584505,79.87321746283804,Asian Restaurant,0.48737509570309934
Kohuwala,6.862484200000001,79.8854983,Kylie Angel,6.868815,79.891284,Clothing Store,0.7001240880243046
Rajagiriya,6.909410799999999,79.8942538,LOLC,6.9084879326308215,79.89077903003381,Shop & Service,0.10206022031709229
Maha Nuge Gardens,6.916688400000001,79.8491938,Lagoon,6.918448210529872,79.84900154872244,Seafood Restaurant,0.19461812307720072
Narahenpita,6.897593400000001,79.881483,Lake Gardans,6.901924434890027,79.88557533455328,Garden Center,0.4789704565265537
Maha Nuge Gardens,6.916688400000001,79.8491938,Lake Lodge,6.914918480116595,79.854435367639,Hotel,0.1957361058940669
Cinnamon Gardens,6.9116652,79.86456779999997,Lakpahana,6.905988961636812,79.8629853446376,Arts & Crafts Store,0.6277371530376841
Cinnamon Gardens,6.9116652,79.86456779999997,Laksala Museum Gallery Café,6.910536265928124,79.86187344943058,Café,0.12484921921140629
Kiribathgoda,6.9778284,79.92715229999997,Lanka Pharmacy,6.980847933456542,79.92995738983154,Pharmacy,0.3339322341824023
Kollupitiya,6.912815400000001,79.8506815,LankaCom,6.912591410117477,79.85480045489719,IT Services,0.024771122174503172
Union Place,6.9229583,79.8523572,Latitude - Taj Samudra,6.922730419306817,79.84709326970436,Restaurant,0.025201419045426877
Kottawa,6.8411652,79.9654324,Laugfs Sunup,6.841950616044638,79.96268179049851,Convenience Store,0.08685918710828852
Wellawatte,6.8740921,79.8604934,Laugfs Sunup,6.871425003626463,79.86196075174814,Department Store,0.29495466114029356
Rajagiriya,6.909410799999999,79.8942538,Laugfs Supermarket,6.907433603367922,79.90025032510691,Convenience Store,0.2186588519290191
Koswatte,6.908863,79.93135670000002,Laugfs Supermarket,6.908150754542931,79.93616100947261,Supermarket,0.07876746903158516
Borella,6.9121796,79.8828828,Laughs,6.9081920003488895,79.8764569278037,Convenience Store,0.4409900421120523
Dematagoda,6.9352993000000005,79.88078309999999,Laughs Sun Up Maligawatha,6.943044772304464,79.87822126292939,Convenience Store,0.8565755368004225
Nawala,6.896419099999999,79.8884819,Laughs SunUp Supermarket,6.9028247961690745,79.89280393053912,Convenience Store,0.7084078699033214
Thalawathugoda,6.8758648,79.9391936,Laughs Sunup Supermarket,6.877203,79.935115,Convenience Store,0.14799179869583617
Dematagoda,6.9352993000000005,79.88078309999999,Laughs Supermarket,6.932592189702292,79.88935120154045,Convenience Store,0.29938057434620674
Battaramulla,6.897994099999999,79.9222869,Lavinia Bakers,6.895039,79.92385300000001,Bakery,0.3268053571944177
Battaramulla,6.897994099999999,79.9222869,Lavinia Chinese Restaurant,6.894628834480496,79.92402656617107,Chinese Restaurant,0.3721656765358194
Cinnamon Gardens,6.9116652,79.86456779999997,Leather Collection,6.910649672050072,79.85662754255189,Clothing Store,0.112307596249835
Nugegoda,6.864908099999999,79.89967890000001,LeeSh Sandwich Bar,6.867301971293491,79.89303015437052,Sandwich Place,0.2647385777387043
Colombo,6.927078599999999,79.861243,Leena Eating House-Maradana,6.931333670747155,79.86164716431163,Eastern European Restaurant,0.4705701395636258
Pelawatte,6.8905834000000015,79.924918,Lemongrass,6.8940956481682925,79.92548188769716,Indian Restaurant,0.3884204652636494
Kollupitiya,6.912815400000001,79.8506815,Levi's,6.912662590985534,79.85379504471014,Clothing Store,0.016899204239518285
Kollupitiya,6.912815400000001,79.8506815,Liberty Plaza,6.911949394237728,79.8511982487789,Shopping Mall,0.09577188938599986
Kollupitiya,6.912815400000001,79.8506815,Liberty Plaza Food Court,6.911903973221158,79.85120372411329,Food Court,0.10079501588388583
Kollupitiya,6.912815400000001,79.8506815,Liberty by Scope Cinemas,6.912196552408334,79.8511500191359,Movie Theater,0.06843857856926377
Maha Nuge Gardens,6.916688400000001,79.8491938,Life Food,6.916239884249383,79.85332601941646,Café,0.0496015270021205
"Kaduwela, Western Province",6.929061,79.98277540000002,Life power Gym,6.926315182215272,79.97991921087699,Gym,0.3036611733653145
Kalubowila,6.863141400000001,79.87868329999998,LifePro Fitness Center,6.868246215878299,79.8838479329193,Gym / Fitness Center,0.5645423276500827
Cinnamon Gardens,6.9116652,79.86456779999997,Lifestyles Gym,6.910471434783138,79.85927195366953,Gym / Fitness Center,0.1320189183386534
Thalawathugoda,6.8758648,79.9391936,Lifetime Fitness,6.877179588774261,79.93519734073739,Gym,0.14540274660962857
Kirulapana,6.8814717000000005,79.87634759999997,Lil Orbits,6.88126562661978,79.87000731028964,Donut Shop,0.022789699856706345
Bambalapitiya,6.904361,79.8540397,Lionel Wendt Art Gallery,6.9067216165621375,79.86071819526764,Art Gallery,0.26106136168522787
Bambalapitiya,6.904361,79.8540397,Lionel Wendt Theatre,6.906758806950535,79.86067952635823,Theater,0.26517425917097687
Maha Nuge Gardens,6.916688400000001,79.8491938,London Grill,6.918507838043042,79.84883236427237,Steakhouse,0.2012123529345018
Cinnamon Gardens,6.9116652,79.86456779999997,London House of Coffee,6.90947501639217,79.86649137222544,Coffee Shop,0.24221317621991081
Hulftsdorp,6.9362635,79.8639835,London Stock Exchange Group - Phase 1,6.929782304887613,79.86187571266312,Office,0.7167583240455343
Slave Island,6.9257119000000005,79.8503314,Long Feng Chinese Restaurant,6.929313091379861,79.84981668982115,Chinese Restaurant,0.39825730532625797
Kandana,7.0477897,79.8970348,Loop Restaurant and Cafe,7.05188071330714,79.89662295453569,Café,0.4524292661326932
Maharagama,6.8510951,79.92120109999998,Lounge 171,6.858294,79.915912,Coffee Shop,0.7961270300573954
Cinnamon Gardens,6.9116652,79.86456779999997,Love Bar,6.911216612934588,79.87029051202376,Cocktail Bar,0.04960940329293526
Havelock Town,6.8866519,79.8646835,Lumala City,6.888681895727961,79.85719527398305,Bike Shop,0.22449772724916164
Pannipitiya,6.8463993,79.94843459999998,Lunu Dehi Rasa - ලුණු දෙහි රස,6.854232014103506,79.94635105133057,Sri Lankan Restaurant,0.8662204340378215
Fort (Colombo),6.9337011,79.8500302,Luv SL Dutch Hospital,6.9332703590938225,79.84360672708928,Arts & Crafts Store,0.04763583423354874
Kahathuduwa,6.782298,79.99479559999997,M Store,6.780987,79.99766,Market,0.14498317600109095
Fort (Colombo),6.9337011,79.8500302,M. D. Gunasena Book Shop,6.934946542328999,79.85311143031814,Bookstore,0.13773404283081478
Kollupitiya,6.912815400000001,79.8506815,M3 Cafe,6.9145396866783715,79.85705300684734,Coffee Shop,0.19068949559396117
Bambalapitiya,6.904361,79.8540397,MANGO,6.900836479787532,79.85315719797154,Clothing Store,0.38977780104108833
Wellawatte,6.8740921,79.8604934,MB Yaal restaurant,6.869908000000001,79.858655,Restaurant,0.4627203467192374
Havelock Town,6.8866519,79.8646835,MD Gunasena,6.890989564489192,79.85866395045117,Bookstore,0.4797034067028808
Hulftsdorp,6.9362635,79.8639835,MULTIFIT GYM,6.930029642793099,79.86997295182553,Gym,0.6894051158291088
Maradana,6.926997,79.8639835,Maadampe,6.922215790673512,79.87030537684099,Sri Lankan Restaurant,0.5287559336636168
Kollupitiya,6.912815400000001,79.8506815,Mabroc Bubble Tea,6.91187553763328,79.85118018419286,Bubble Tea Shop,0.10393971773134594
Koswatte,6.908863,79.93135670000002,Machan (මචං),6.907123524335955,79.93235139528223,Bar,0.1923692052976538
Nawala,6.896419099999999,79.8884819,Machang,6.895498963370997,79.88971212368908,Pub,0.1017581715348419
Kirulapana,6.8814717000000005,79.87634759999997,Mackys Restaurant,6.875495212878864,79.8810972042928,Restaurant,0.6609409287170859
Fort (Colombo),6.9337011,79.8500302,Magarita Blue Night Club,6.931457861428241,79.8424460478478,Nightclub,0.2480807723398293
Wattala,6.9906677,79.8931709,Mahagedara,6.988442999999999,79.892921,Restaurant,0.2460311744281869
Kottawa,6.8411652,79.9654324,Mahalwarawa Junction,6.8430053899514105,79.9573005664175,Intersection,0.2035066738076692
Maharagama,6.8510951,79.92120109999998,Maharagama 341 Bus Halt,6.844550325433503,79.92599525917139,Bus Station,0.723787030155708
Maharagama,6.8510951,79.92120109999998,Maharagama Galle Highway Bus Halt,6.84655517808029,79.92582606257324,Bus Station,0.5020702709780871
Maharagama,6.8510951,79.92120109999998,Maharagama Pola,6.845293543532582,79.92612040782271,Fruit & Vegetable Store,0.6415945038161618
Bambalapitiya,6.904361,79.8540397,Maharaja Palace,6.905803569911143,79.86046447930495,Indian Restaurant,0.15953427766968276
Kelaniya,6.9516076,79.91866230000002,Maheshakya Hyper Market,6.958544707848879,79.91496035993639,Grocery Store,0.767178633337869
Wellawatte,6.8740921,79.8604934,Majestic Cineplex,6.866134044249233,79.86239193270566,Movie Theater,0.8800827004452567
Bambalapitiya,6.904361,79.8540397,Majestic Cineplex,6.896138813648555,79.85513120078495,Multiplex,0.9092940905089272
Bambalapitiya,6.904361,79.8540397,Makeen Bookshop,6.905741266968397,79.85147104265772,Bookstore,0.15264417468186944
Boralesgamuwa,6.840989100000002,79.9017187,Makrin Family Restaurant,6.8474120915997085,79.89693818522744,Fast Food Restaurant,0.7103189374699592
Ratmalana,6.8195453,79.8800832,Maliban Sama Mandiraya,6.826143244556722,79.87720415882235,Park,0.729666347709668
Bambalapitiya,6.904361,79.8540397,Mandarina Colombo hotel,6.900006721013899,79.85350967001983,Hotel,0.48154107695922643
Bambalapitiya,6.904361,79.8540397,Manhattan Fish Market Colombo,6.906818115608932,79.85320688474214,Seafood Restaurant,0.2717332235437406
Kohuwala,6.862484200000001,79.8854983,Manjari,6.8688904731714295,79.8872680506135,Shopping Mall,0.7084706780857694
Colombo,6.927078599999999,79.861243,Maradana Railway Station,6.929182062592254,79.86535895242763,Train Station,0.23262283983408738
Bambalapitiya,6.904361,79.8540397,Marina Bay Hotel & Casino,6.906480902345147,79.84981995927801,Casino,0.23444069610986307
Bambalapitiya,6.904361,79.8540397,Marino Beach Colombo,6.899914886903956,79.8515641985597,Hotel,0.49169703899885175
Bambalapitiya,6.904361,79.8540397,Marino Beach Hotel,6.899864,79.852387,Hotel,0.49732463710653213
Kandana,7.0477897,79.8970348,Market,7.048125597168584,79.89643418493823,Market,0.037147201899989976
Moratuwa,6.788070599999998,79.8912813,Master Wok,6.787197,79.884628,Sri Lankan Restaurant,0.09661123856616309
Piliyandala,6.8017575,79.9227313,Master Wok,6.803981567069324,79.92152476088512,Chinese Restaurant,0.2459592594482079
Havelock Town,6.8866519,79.8646835,Mathura Restaurant,6.8846904718799875,79.86783360906918,Indian Restaurant,0.21691480054332218
Kohuwala,6.862484200000001,79.8854983,McDonald's,6.8707660594574165,79.88632849726156,Fast Food Restaurant,0.91589207290748
Bambalapitiya,6.904361,79.8540397,McDonald's,6.9035085422310605,79.85206854898807,Fast Food Restaurant,0.09427357858511928
Bambalapitiya,6.904361,79.8540397,McDonald's,6.90479517520336,79.86288225905956,Fast Food Restaurant,0.04801557654422316
Cinnamon Gardens,6.9116652,79.86456779999997,McDonald's,6.904882720109277,79.86299081388013,Fast Food Restaurant,0.7500767667165326
Rajagiriya,6.909410799999999,79.8942538,McDonald's,6.909855478254635,79.88845580088531,Fast Food Restaurant,0.04917712279517448
Union Place,6.9229583,79.8523572,McDonald's,6.917406,79.855006,Fast Food Restaurant,0.6140310589303037
