Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Ratmalana,6.8195453,79.8800832,Belekkade Juntion Bus Stand,6.817350155283256,79.87548708543892,Bus Station,0.24276089671202936
Bambalapitiya,6.904361,79.8540397,Bellagio Colombo,6.905062515239322,79.85378305258995,Casino,0.07758079825469888
Boralesgamuwa,6.840989100000002,79.9017187,Bellanwila Jogging Track,6.841583148214044,79.89379351776594,Athletics & Sports,0.06569581146892775
Dematagoda,6.9352993000000005,79.88078309999999,Bellatrix Fitness Centre,6.94159912883164,79.88009421600437,Gym,0.6967011031846603
Thalawathugoda,6.8758648,79.9391936,Belmio Pizzeria,6.8757399999999995,79.93190899999999,Pizza Place,0.01380165589184986
Wattala,6.9906677,79.8931709,Ben Foods,6.995722948080842,79.88809093684189,Food,0.5590636104179698
Maha Nuge Gardens,6.916688400000001,79.8491938,Berlin Sky Lounge,6.915575427334505,79.85674651238156,Lounge,0.12308406756244399
Kirulapana,6.8814717000000005,79.87634759999997,Best Western Elyon Colombo,6.883595725101753,79.87618068275101,Hotel,0.23489640853763422
Narahenpita,6.897593400000001,79.881483,Bewaxed,6.894956,79.888795,Health & Beauty Service,0.2916708200579156
Rajagiriya,6.909410799999999,79.8942538,Big Bite Biriyani,6.908126069738881,79.89899263790855,Asian Restaurant,0.14207876113514015
Kalubowila,6.863141400000001,79.87868329999998,Big Bite Buriyani,6.86802339578219,79.8857759005277,BBQ Joint,0.5399006184327751
Cinnamon Gardens,6.9116652,79.86456779999997,Black Cat Cafe,6.915372909785445,79.86942615766114,Café,0.4100369810728678
Fort (Colombo),6.9337011,79.8500302,Blue Elephant,6.9325533088004345,79.8451812500235,Nightclub,0.12693475290992975
Moratuwa,6.788070599999998,79.8912813,Blue Feathers Sports Park,6.795081828759099,79.89648694278327,Gym / Fitness Center,0.7753704260450439
Thalawathugoda,6.8758648,79.9391936,Bluebells - Thalawathogoda,6.875354,79.936136,Bakery,0.05648946933345296
Battaramulla,6.897994099999999,79.9222869,Bluebells Bakers,6.896576112140878,79.92765145587906,Bakery,0.15681568937781268
Hokandara,6.8743192,79.9696277,Bluebells Bakery,6.867603298136075,79.96426058416542,Bakery,0.742712723073208
Kalubowila,6.863141400000001,79.87868329999998,Body By Kris,6.86963557830561,79.88084093802269,Gym,0.7181921405612801
Dehiwala,6.8301185,79.8800832,Body Court,6.833461310027562,79.87764236698744,Gym Pool,0.36968132510659446
Wellawatte,6.8740921,79.8604934,Bombay Sweets Center,6.87556091071533,79.86100511950234,Dessert Shop,0.162436051593185
Fort (Colombo),6.9337011,79.8500302,Botanik,6.933433487193736,79.84374688283752,Hotel Bar,0.029595422999652184
Kohuwala,6.862484200000001,79.8854983,Brands Warehouse,6.869416478225098,79.8878243463805,Clothing Store,0.7666416615619688
Union Place,6.9229583,79.8523572,Bread Talk,6.918045789182477,79.85843483956891,Bakery,0.5432765267987633
Havelock Town,6.8866519,79.8646835,BreadTalk,6.890951204018913,79.86623869955824,Bakery,0.4754611122670403
Cinnamon Gardens,6.9116652,79.86456779999997,BreadTalk - Union Place,6.917923204952997,79.86458928850689,Bakery,0.692075093264149
Maharagama,6.8510951,79.92120109999998,BreadTalk Maharagama,6.8507880000000005,79.921442,Bakery,0.03396221267441803
Kohuwala,6.862484200000001,79.8854983,BreadTalk Nugegoda,6.8691295410626685,79.89018342822031,Bakery,0.734909234466367
Rajagiriya,6.909410799999999,79.8942538,BreadTalk Rajagiriya,6.9079773610328585,79.89935872827667,Bakery,0.1585245075514578
Maha Nuge Gardens,6.916688400000001,79.8491938,Breeze Bar,6.9185984356011065,79.84900872896871,Bar,0.2112315721256536
Moratuwa,6.788070599999998,79.8912813,Bright House,6.78908963734991,79.88573849201201,Bakery,0.11269512860992557
Kotahena,6.9487664,79.86048309999998,Brighten Rest,6.941562077086218,79.86413934167572,Hotel,0.7967297641584595
Colombo,6.927078599999999,79.861243,Brown Bean Coffee,6.9307513369690525,79.86170553884318,Food Truck,0.40616958675367903
Havelock Town,6.8866519,79.8646835,Bubble Me Bubble Tea,6.891229447047608,79.86684558741683,Bubble Tea Shop,0.5062320816988082
Cinnamon Gardens,6.9116652,79.86456779999997,Bubble Me Bubble Tea,6.909509621598888,79.86624782676412,Bubble Tea Shop,0.23838617439933332
Bambalapitiya,6.904361,79.8540397,Bubblelement Colombo,6.898614383014937,79.85558047095509,Bubble Tea Shop,0.6355201538847284
Welikada,6.9230071,79.8940806,Buddhika Auto Workshop,6.917660000000001,79.9009,Auto Workshop,0.5913379133056162
Hulftsdorp,6.9362635,79.8639835,Buhari Junction,6.9297840306317005,79.86480110565773,Bus Station,0.7165674732456344
Batuwatta,7.0622539999999985,79.9412368,Bulugahagoda Railway Station,7.066062857376269,79.94559730824429,Train Station,0.421225616523975
Maharagama,6.8510951,79.92120109999998,Burger King,6.849411,79.924052,Burger Joint,0.18624474350438947
Kohuwala,6.862484200000001,79.8854983,Burger King,6.870223935008117,79.88749641826796,Fast Food Restaurant,0.8559384395280227
